西訓子府駅,にしくんねっぷえき
西港駅,にしこうえき
西春別駅,にししゅんべつえき
西富駅,にしとみえき
西名寄駅,にしなよろえき
西二線仮乗降場,にしにせんかりじょうこうじょう
西前田駅,にしまえだえき
仁世宇駅,にせうえき
二ノ橋駅,にのはしえき
丹羽駅,にわえき
縫別駅,ぬいべつえき
糠平駅,ぬかびらえき
糠平ダム仮乗降場,ぬかびらだむかりじょうこうじょう
沼牛駅,ぬまうしえき
沼川駅,ぬまかわえき
沼ノ上駅,ぬまのうええき
根室標津駅,ねむろしべつえき
農場前駅,のうじょうまええき
野塚駅,のつかえき
能取駅,のとろえき
信砂駅,のぶしやえき
登川駅,のぼりかわえき
萩ヶ岡駅,はぎがおかえき
箸別駅,はしべつえき
八幡前駅,はちまんまええき
花石駅,はないしえき
花岡仮乗降場,はなおかかりじょうこうじょう
羽幌駅,はぼろえき
浜佐呂間駅,はまさろまえき
浜床丹仮乗降場,はまとこたんかりじょうこうじょう
浜頓別駅,はまとんべつえき
芭露駅,ばろうえき
芭呂沢駅,ばろうさわえき
班渓駅,ぱんけえき
蟠渓駅,ばんけいえき
晩翠駅,ばんすいえき
盤の沢駅,ばんのさわえき
番屋ノ沢仮乗降場,ばんやのさわかりじょうこうじょう
東鶉駅,ひがしうずらえき
東瓜幕駅,ひがしうりまくえき
東京極駅,ひがしきょうごくえき
東声問駅,ひがしこえといえき
東札幌駅,ひがしさっぽろえき
東美深駅,ひがしびふかえき
飛行場前駅,ひこうじょうまええき
日高岩内駅,ひだかいわないえき
日高町駅,ひだかちょうえき
日高三岡駅,ひだかみつおかえき
日ノ出駅,ひのでえき
美唄炭山駅,びばいたんざんえき
平糸駅,ひらいとえき
美利河駅,ぴりかえき
広尾駅,ひろおえき
広郷駅,ひろさとえき
敏音知駅,ぴんねしりえき
深牛駅,ふかうしえき
布川駅,ふかわえき
蕗ノ台駅,ふきのだいえき
福島仮乗降場,ふくしまかりじょうこうじょう
双葉駅,ふたばえき
二見ヶ岡駅,ふたみがおかえき
二見中央仮乗降場,ふたみちゅうおうかりじょうこうじょう
振老駅,ふらおいえき
振内駅,ふれないえき
分線駅,ぶんせんえき
平和駅,へいわえき
別海駅,べっかいえき
辺渓駅,ぺんけえき
北進駅,ほくしんえき
北斗駅,ほくとえき
北湧駅,ほくゆうえき
北竜駅,ほくりゅうえき
北海鋼機前駅,ほっかいこうきまえ
北興駅,ほっこうえき
北光社駅,ほっこうしゃえき
穂波駅,ほなみえき
穂別駅,ほべつえき
幌加駅,ほろかえき
幌加内駅,ほろかないえき
幌毛志駅,ほろけしえき
幌内駅,ほろないえき
幌内住吉駅,ほろないすみよしえき
幌成駅,ほろなりえき
幌似駅,ほろにえき
本岐駅,ほんきえき
本別駅,ほんべつえき
前田駅,まえだえき
曲淵駅,まがりぶちえき
増毛駅,ましけえき
真澄町駅,ますみちょうえき
松音知駅,まつねしりえき
松前駅,まつまええき
丸松駅,まるまつえき
円山駅,まるやまえき
万字駅,まんじえき
万字炭山駅,まんじたんざんえき
万代町停留場,まんだいちょうていりゅうじょう
三笠駅,みかさえき
御園駅,みそのえき
南雨竜仮乗降場,みなみうりゅうかりじょうこうじょう
南大夕張駅,みなみおおゆうばりえき
南京極駅,みなみきょうごくえき
南新得駅,みなみしんとくえき
南美唄駅,みなみびばいえき
南本別駅,みなみほんべつえき
